"ID" "species" "pca" "segclass" "colordiscrim"
"387" "Eremophila_alpestris" -0.5 -0.36 -0.33
"388" "Eremopterix_verticalis" 0.23 -0.36 -0.44
"389" "Erythrogonys_cinctus" -0.44 -0.61 -0.55
"390" "Erythrura_gouldiae" 0.12 0.99 0.47
"391" "Eudynamys_scolopaceus" 2.94 1.2 2.33
"392" "Eudyptula_minor" 0.95 1.71 -0.4
"393" "Eugerygone_rubra" NA 0.27 NA
"394" "Eulacestoma_nigropectus" 1.17 0.41 0.67
"395" "Euphagus_carolinus" -0.31 0.24 0.08
"396" "Euphagus_cyanocephalus" -0.55 0.8 1.06
"397" "Euplectes_orix" 2.68 2.54 2.9
"398" "Eurypyga_helias" -0.25 -0.45 -0.47
"399" "Falco_berigora" -0.2 -0.5 -0.21
"400" "Falco_columbarius" 0.05 0.02 -0.11
"401" "Falco_mexicanus" 0 -0.61 -0.69
"402" "Falco_peregrinus" -0.54 -0.07 -0.49
"403" "Falco_sparverius" -0.3 -0.13 -0.29
"404" "Falco_tinnunculus" -0.15 0.27 0.07
"405" "Falcunculus_frontatus" -0.37 -0.27 0.16
"406" "Ficedula_albicollis" 1.07 0.62 0.39
"407" "Ficedula_hypoleuca" 0.17 0.38 0.12
"408" "Formicarius_analis" -0.86 -0.62 -0.7
"409" "Formicarius_nigricapillus" -0.94 -0.46 -0.46
"410" "Foudia_madagascariensis" 1.08 2.68 3.2
"411" "Fratercula_arctica" -0.73 -0.81 -0.76
"412" "Fratercula_corniculata" -0.5 -0.68 -0.58
"413" "Fregata_magnificens" 1.96 0.84 -0.04
"414" "Fringilla_coelebs" 0.72 0.48 0.65
"415" "Fulmarus_glacialis" -0.19 -0.66 -0.67
"416" "Galbula_albirostris" 0.29 0.51 0.97
"417" "Galerida_cristata" -0.37 -0.68 -0.54
"418" "Gallinula_chloropus" -0.8 -0.17 -0.43
"419" "Gallinula_tenebrosa" -0.97 -0.65 -0.65
"420" "Gallus_gallus" 0.38 1.6 1.26
"421" "Gavia_adamsii" -0.68 -0.53 -0.64
"422" "Gavia_arctica" -0.49 -0.5 -0.68
"423" "Gavia_immer" -0.64 -0.49 -0.78
"424" "Gavia_stellata" -0.65 -0.77 -0.65
"425" "Geococcyx_californianus" 0.67 0.43 -0.21
"426" "Geopelia_humeralis" -0.43 0.09 -0.47
"427" "Geopelia_striata" 0.03 -0.47 -0.39
"428" "Ocyphaps_lophotes" -0.53 -0.31 -0.81
"429" "Geothlypis_trichas" -0.27 -0.13 0.78
"430" "Gerygone_chloronota" -0.63 -0.74 -0.63
"431" "Gerygone_chrysogaster" 0.28 -0.39 -0.18
"432" "Gerygone_cinerea" -0.82 -0.85 -0.77
"433" "Gerygone_fusca" -0.47 -0.69 -0.57
"434" "Gerygone_levigaster" -0.31 -0.55 -0.57
"435" "Gerygone_magnirostris" -0.64 -0.64 -0.64
"436" "Gerygone_mouki" -0.46 -0.68 -0.59
"437" "Gerygone_olivacea" -0.43 -0.7 -0.56
"438" "Glycichaera_fallax" -0.56 -0.7 -0.49
"439" "Grallaria_quitensis" -0.8 -0.6 -0.48
"440" "Grallina_bruijni" 1 0.27 -0.26
"441" "Grallina_cyanoleuca" 1.62 0.62 -0.51
"442" "Grus_canadensis" -0.6 -0.57 -0.67
"443" "Grus_grus" -0.5 -0.67 -0.71
"444" "Guira_guira" -0.53 -0.61 -0.67
